section,metric,value
primary,n_infants,554
primary,n_vaginal,296
primary,n_csection,258
preprocessing,n_features,64
preprocessing,n_direction_unstable,2
mixed_model,n_samples,1467
mixed_model,n_subjects,579
mixed_model,n_subjects_repeated,492
mixed_model,n_models,61
mixed_model,n_converged,61
mixed_model,n_singular,0
longitudinal,n_d0_7,827
longitudinal,n_d8_30,349
longitudinal,n_d31_90,0
longitudinal,n_d91_plus,291
estimand_agreement,day4_agree,57/61
estimand_agreement,day14_agree,59/61
estimand_agreement,day210_agree,50/61
context,n_reported_features,41
context,n_direction_reversals,0
